dataset,subject,question_id,model_type,stage,cache_name,layer_idx,entropy_raw,entropy_normalized,logit_lens_temperature,vocab_size,kl_prev_layer,kl_vector_align
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,12,nan,nan,1.0,0,1.0461885929107666,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,13,nan,nan,1.0,0,0.9140084385871887,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,14,nan,nan,1.0,0,1.051884651184082,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,15,nan,nan,1.0,0,1.0064465999603271,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,16,nan,nan,1.0,0,0.9345659017562866,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,17,nan,nan,1.0,0,0.9194159507751465,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,18,nan,nan,1.0,0,0.8462013006210327,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,19,nan,nan,1.0,0,0.8531299829483032,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,20,nan,nan,1.0,0,0.8560389280319214,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,21,nan,nan,1.0,0,0.8383371829986572,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,22,nan,nan,1.0,0,0.9143863916397095,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,23,nan,nan,1.0,0,0.9217329025268555,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,24,nan,nan,1.0,0,0.8510952591896057,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,25,nan,nan,1.0,0,0.9632394313812256,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,26,nan,nan,1.0,0,0.9032012820243835,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,27,nan,nan,1.0,0,0.9455281496047974,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,28,nan,nan,1.0,0,0.9561891555786133,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,29,nan,nan,1.0,0,0.9393258094787598,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,30,nan,nan,1.0,0,0.9793423414230347,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,31,nan,nan,1.0,0,0.9729961156845093,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,32,nan,nan,1.0,0,1.004132628440857,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,33,nan,nan,1.0,0,0.9539021849632263,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,34,nan,nan,1.0,0,0.9373973608016968,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,35,nan,nan,1.0,0,1.1100740432739258,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,0,nan,nan,1.0,0,nan,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,1,nan,nan,1.0,0,2.181443929672241,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,2,nan,nan,1.0,0,1.2826095819473267,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,3,nan,nan,1.0,0,0.9946768283843994,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,4,nan,nan,1.0,0,1.347244143486023,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,5,nan,nan,1.0,0,1.358718991279602,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,6,nan,nan,1.0,0,1.2044976949691772,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,7,nan,nan,1.0,0,0.9064780473709106,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,8,nan,nan,1.0,0,1.0920841693878174,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,9,nan,nan,1.0,0,1.0253932476043701,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,10,nan,nan,1.0,0,1.1374059915542603,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,11,nan,nan,1.0,0,1.1685411930084229,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,12,nan,nan,1.0,0,1.007825493812561,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,13,nan,nan,1.0,0,0.8769845962524414,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,14,nan,nan,1.0,0,0.9732405543327332,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,15,nan,nan,1.0,0,0.9752185344696045,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,16,nan,nan,1.0,0,0.8879274129867554,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,17,nan,nan,1.0,0,0.8541955947875977,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,18,nan,nan,1.0,0,0.8015810251235962,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,19,nan,nan,1.0,0,0.8246538639068604,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,20,nan,nan,1.0,0,0.8195387721061707,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,21,nan,nan,1.0,0,0.7918558716773987,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,22,nan,nan,1.0,0,0.8790277242660522,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,23,nan,nan,1.0,0,0.871785581111908,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,24,nan,nan,1.0,0,0.8015738129615784,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,25,nan,nan,1.0,0,0.8272305727005005,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,26,nan,nan,1.0,0,0.8565739393234253,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,27,nan,nan,1.0,0,0.8362104296684265,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,28,nan,nan,1.0,0,0.8427526354789734,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,29,nan,nan,1.0,0,0.8682676553726196,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,30,nan,nan,1.0,0,0.8183186054229736,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,31,nan,nan,1.0,0,0.9285510182380676,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,32,nan,nan,1.0,0,0.9153233766555786,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,33,nan,nan,1.0,0,0.8861166834831238,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,34,nan,nan,1.0,0,0.8731070756912231,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,sharer,35,nan,nan,1.0,0,1.215044617652893,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,0,nan,nan,1.0,0,nan,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,1,nan,nan,1.0,0,2.1814701557159424,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,2,nan,nan,1.0,0,1.2826142311096191,last
